entry,address_city,address_code,first_entry_date,krs,legal_form,name,name_short,nip,regon,industriesR,industriesN,ceo_name,industriesJ,industriesM,industriesP,industriesL,industriesC,industriesG,industriesK,industriesF,industriesH,industriesI,industriesS,industriesQ,nazwa_jednostki,kwota_wsparcia
"""GOOD TASTE PRODUCTION SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"" SPÓŁKA KOMANDYTOWA",Poznań,60-178,2018-04-09,726485,SPÓŁKA KOMANDYTOWA,"""GOOD TASTE PRODUCTION SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"" SPÓŁKA KOMANDYTOWA",GOOD TASTE PRODUCTION,7792486854.0,369916612.0,True,,,,,,,,,,,,,,,"""GOOD TASTE PRODUCTION SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"" SPÓŁKA KOMANDYTOWA",2000000
"""High Note Events spółka z ograniczoną odpowiedzialnością"" spółka komandytowa",Warszawa,00-707,2015-06-03,561680,SPÓŁKA KOMANDYTOWA,HIGH NOTE EVENTS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA,HIGH NOTE EVENTS,5213698659.0,361707607.0,,True,,,,,,,,,,,,,,"""High Note Events spółka z ograniczoną odpowiedzialnością"" spółka komandytowa",2000000
"""Industrial Art""",Wrocław,51-169,2005-05-20,234643,STOWARZYSZENIE,"""INDUSTRIAL ART""",INDUSTRIAL ART,,20124198.0,,,Maciej Frett,,,,,,,,,,,,,"""Industrial Art""",45000
"""L'ART DE LA DANSE"" TOWARZYSTWO WSPIERANIA I ROZWOJU SZTUKI BALETOWEJ W KRAKOWIE",Kraków,31-010,2006-02-08,250437,STOWARZYSZENIE,"""L'ART DE LA DANSE"" TOWARZYSTWO WSPIERANIA I ROZWOJU SZTUKI BALETOWEJ W KRAKOWIE","""L'ART DE LA DANSE"" TOWARZYSTWO WSPIERANIA I ROZWOJU SZTUKI BALETOWEJ W KRAKOWIE",,357179330.0,,,Monika Maria Myśliwiec,,,,,,,,,,,,,"""L'ART DE LA DANSE"" TOWARZYSTWO WSPIERANIA I ROZWOJU SZTUKI BALETOWEJ W KRAKOWIE",39000
"""SOS MUSIC"" REMIGIUSZ TRAWIŃSKI I WOJCIECH ZAGUŁA SPÓŁKA JAWNA",Toruń,87-100,2008-03-11,301257,SPÓŁKA JAWNA,"""SOS MUSIC"" REMIGIUSZ TRAWIŃSKI I WOJCIECH ZAGUŁA SPÓŁKA JAWNA","""SOS MUSIC"" REMIGIUSZ TRAWIŃSKI I WOJCIECH ZAGUŁA",9562107179.0,871679810.0,,,,True,,,,,,,,,,,,"""SOS MUSIC"" REMIGIUSZ TRAWIŃSKI I WOJCIECH ZAGUŁA SPÓŁKA JAWNA",350000
1863.PL,Warszawa,04-761,2016-05-30,620424,FUNDACJA,1863.PL,1863.PL,9522147882.0,364582980.0,,,Krzysztof Paweł Kur,,,,,,,,,,,,,1863.PL,2000
58 MUSIC PROJECTS SPÓŁKA  Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Warszawa,00-312,2018-10-17,753482,SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,58 MUSIC PROJECTS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,58 MUSIC PROJECTS,5252767034.0,381593789.0,,,Monika Ewa Kordowicz,,True,,,,,,,,,,,58 MUSIC PROJECTS SPÓŁKA  Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,55500
ADRIA ART SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA,Bydgoszcz,85-018,2018-09-19,749691,SPÓŁKA KOMANDYTOWA,ADRIA ART SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA,ADRIA ART,9671422655.0,381340539.0,True,,,,,,,,,,,,,,,ADRIA ART SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA,664500
AGENCJA ARTYSTYCZNA 4 MUSIC JOANNA DROZDA SPÓŁKA JAWNA,Pruszków,05-803,2007-01-09,271502,SPÓŁKA JAWNA,AGENCJA ARTYSTYCZNA 4 MUSIC JOANNA DROZDA SPÓŁKA JAWNA,AGENCJA ARTYSTYCZNA 4 MUSIC JOANNA DROZDA,5342345762.0,140829885.0,,,,,,,,,,,,,,,,AGENCJA ARTYSTYCZNA 4 MUSIC JOANNA DROZDA SPÓŁKA JAWNA,664500
AGENCJA ARTYSTYCZNA ART,Sopot,81-810,2002-09-16,130558,SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,"AGENCJA REKLAMOWO-ARTYSTYCZNA ""TOP-ART"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ","AGENCJA REKLAMOWO-ARTYSTYCZNA ""TOP-ART""",5841008698.0,190464108.0,,,Michał Zbigniew Chudyba,,,,,,,,,,,,,AGENCJA ARTYSTYCZNA ART,227441
AGENCJA ARTYSTYCZNA ART,Warszawa,,2016-12-13,652126,SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,AGENCJA ARTYSTYCZNO REKLAMOWA FLI-ART SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,AGENCJA ARTYSTYCZNO REKLAMOWA FLI-ART,9512424682.0,366063540.0,,,Małgorzata Maria Niedziółka,,True,,,,,,,,,,,AGENCJA ARTYSTYCZNA ART,227441
AGENCJA ARTYSTYCZNA ART,Kraków,31-108,2006-06-30,259917,SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,PROFESSIONAL ART. AGENCJA ARTYSTYCZNA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,PROFESSIONAL ART. AGENCJA ARTYSTYCZNA,,351007786.0,,,,,,,,,,,,,,,,AGENCJA ARTYSTYCZNA ART,227441
Agencja Teatralna,Warszawa,02-001,2005-02-15,228433,SPÓŁKA KOMANDYTOWA,T. STIEPANOWA I SPÓŁKA AGENCJA TEATRALNA SPÓŁKA KOMANDYTOWA,T. STIEPANOWA I SPÓŁKA AGENCJA TEATRALNA,,,,,,,,,,,,,,,,,,Agencja Teatralna,315321
Akademia Tańca Move,Łódź,90-348,2019-01-09,766095,SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,MOVE ON AKADEMIA TAŃCA SPORTOWEGO SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,MOVE ON AKADEMIA TAŃCA SPORTOWEGO,7282834954.0,382279871.0,,,,,,True,,,,,,,,,,Akademia Tańca Move,21495
Akcja Zdrowie,Bydgoszcz,85-615,2016-07-28,630068,STOWARZYSZENIE,AKCJA ZDROWIE,AKCJA ZDROWIE,5542940305.0,365044954.0,,,Jolanta Hanna Pisarska Bitowt,,,,,,,,,,,,,Akcja Zdrowie,105084
All Over spółka z ograniczoną odpowiedzialnością,Kicin,62-004,2015-11-30,589103,SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,ALL OVER SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,ALL OVER,7773256455.0,363107538.0,True,,Piotr Andrzej Tatarski,,,,,,,,,,,,,All Over spółka z ograniczoną odpowiedzialnością,110694
AMA Spółka z ograniczoną odpowiedzialnością,Warszawa,00-819,2017-08-09,690216,SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,AMA COMPANY SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,AMA COMPANY,5272816876.0,368030881.0,,,Adam Jacek Jankowski,,,,True,,,,,,,,,AMA Spółka z ograniczoną odpowiedzialnością,61638
AMA Spółka z ograniczoną odpowiedzialnością,Warszawa,,2012-05-30,422572,SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,AMA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,AMA,8741775804.0,341298567.0,,,Serhii Smitiukh,,,,,True,,,,,,,,AMA Spółka z ograniczoną odpowiedzialnością,61638
AMA Spółka z ograniczoną odpowiedzialnością,Warszawa,00-687,2019-08-29,801532,SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,AMA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,AMA,7010943126.0,384227424.0,True,,Anna Barbara Szarek,,,,,,,,,,,,,AMA Spółka z ograniczoną odpowiedzialnością,61638
AMA Spółka z ograniczoną odpowiedzialnością,Sopot,81-785,2002-06-10,117380,SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,"""AMA"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",AMA,5832653577.0,191906666.0,,,Sławomir Józef Łoboda,,,,True,,,,,,,,,AMA Spółka z ograniczoną odpowiedzialnością,61638
AMA Spółka z ograniczoną odpowiedzialnością,Warszawa,03-683,2013-01-17,447747,SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,AMA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,AMA,5242756715.0,146505050.0,,,Marek Leszek Żaboklicki,,,,,True,,,,,,,,AMA Spółka z ograniczoną odpowiedzialnością,61638
AMA Spółka z ograniczoną odpowiedzialnością,Koszalin,75-729,2017-10-02,697640,SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,AMA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,AMA,6692540186.0,368407506.0,,,Magdalena Adamkiewicz,,,,,,True,,,,,,,AMA Spółka z ograniczoną odpowiedzialnością,61638
AMA Spółka z ograniczoną odpowiedzialnością,Warszawa,04-406,2014-10-06,526032,SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,AMA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,AMA,9522132337.0,147468670.0,,,Anna Maria Wójcik,,,,,,,,,,,,,AMA Spółka z ograniczoną odpowiedzialnością,61638
AMA Spółka z ograniczoną odpowiedzialnością,Nowogrodziec,59-730,2012-10-04,435480,SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,AMA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,AMA,6121850605.0,21980427.0,,,,,,,,,,,,,,,,AMA Spółka z ograniczoną odpowiedzialnością,61638
AMA Spółka z ograniczoną odpowiedzialnością,Warszawa,02-761,2004-08-18,215049,SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,"""AMA CONSULTING"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",AMA CONSULTING,5262457275.0,16333456.0,,,Beata Maja Waśniewska,,,,,,,True,,,,,,AMA Spółka z ograniczoną odpowiedzialnością,61638
AMA Spółka z ograniczoną odpowiedzialnością,Warszawa,00-830,2004-01-06,185796,SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,AMA CARS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,AMA CARS,5272422261.0,15631105.0,,True,Kazimierz Krzysztof Puczyński,,,,,,,,,,,,,AMA Spółka z ograniczoną odpowiedzialnością,61638
Art Color Ballet,Kraków,31-010,2014-10-15,527189,FUNDACJA,FUNDACJA ART COLOR BALLET,FUNDACJA ART COLOR BALLET,,,,,Gabriel Władysław Kasperczyk,,,,,,,,,,,,,Art Color Ballet,247753
ART DIVISION,Szczecin,70-812,2020-10-06,860029,SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,STREET ART DIVISION SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,STREET ART DIVISION,9552546285.0,387218118.0,,,Paweł Halarewicz,,,,,,True,,,,,,,ART DIVISION,150000
ArtHorse Spółka z ograniczoną odpowiedzialnością,Warszawa,02-952,2017-08-28,692327,SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,ARTHORSE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,ARTHORSE,9512444070.0,368143504.0,True,,Ryszard Jarosław Wojciul,,,,,,,,,,,,,ArtHorse Spółka z ograniczoną odpowiedzialnością,28378
ARTUS,Warszawa,00-078,2006-11-15,267764,SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,ARTUS PARK SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,ARTUS PARK,5832962516.0,220315779.0,,,,,,,True,,,,,,,,,ARTUS,12350
ARTUS,Józefów,05-420,2017-01-25,659909,FUNDACJA,"""FUNDACJA ARTUS""",FUNDACJA ARTUS,5322064020.0,366421212.0,,,Joanna Popławska,,,,,,,,,,,,,ARTUS,12350
ARTUS,Warszawa,00-050,2002-12-20,144584,SPÓŁDZIELNIA,"SPÓŁDZIELNIA ""ARTUS""","SPÓŁDZIELNIA ""ARTUS""",5250005952.0,1073350.0,,,Kazimierz Witold Komorek,,,,,,,,,,,,,ARTUS,12350
